memory,what
0,定数作成用
1,
2,
3,
4,101
5,"""B"" = 66"
6,"""F"" = 70"
7,"""i"" = 105"
8,"""u"" = 117"
9,"""z"" = 122"
10,3
11,5
12,10
13,15
14,
15,定数コピー用(使用時以外は0)
16,カウンタ変数(1~100)
17,101を常に保持
18,101のコピー
19,カウンタ変数のコピー
20,101-カウンタ変数
21,上の真理値反転
22,if-elseのelseフラグ
23,定数コピー用(使用時以外は0)
24,対象とする数を0になるまでデクリメントする場所
25,割る数15 ずっと保持
26,15-k
27,15-kのコピー(破壊される)
28,真理値化15
29,真理値反転15
30,真理値コピー用の空きメモリ15
31,定数コピー用(使用時以外は0)
32,対象とする数を0になるまでデクリメントする場所
33,割る数3 ずっと保持
34,3-k
35,3-kのコピー(破壊される)
36,真理値化3
37,真理値反転3
38,真理値コピー用の空きメモリ3
39,定数コピー用(使用時以外は0)
40,対象とする数を0になるまでデクリメントする場所
41,割る数5 ずっと保持
42,5-k
43,5-kのコピー(破壊される)
44,真理値化5
45,真理値反転5
46,真理値コピー用の空きメモリ5
47,
48,n mod 15 == 0の真理値
49,n mod 3 == 0の真理値
50,n mod 5 == 0の真理値
51,else の真理値
52,
53,
54,
55,定数コピー用(使用時以外は0)
56,対象とする数を0になるまでデクリメントする場所
57,割る数10 ずっと保持
58,10-k
59,10-kのコピー(破壊される)
60,真理値化10
61,真理値反転10
62,10の位を保持
63,1の位を保持
64,10の位のコピー
65,10の位の真理値化
66,'0'=48作成用
67,'0'=48作成用
